#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Water
lava                                              (minecraft:lava)                                                                 = Lava
iron                                              (tconstruct:molten_iron)                                                         = Molten Iron
gold                                              (tconstruct:molten_gold)                                                         = Molten Gold
pigiron                                           (tconstruct:molten_pigiron)                                                      = Molten Pigiron
cobalt                                            (tconstruct:molten_cobalt)                                                       = Molten Cobalt
ardite                                            (tconstruct:molten_ardite)                                                       = Molten Ardite
manyullyn                                         (tconstruct:molten_manyullyn)                                                    = Molten Manyullyn
knightslime                                       (tconstruct:molten_knightslime)                                                  = Molten Knightslime
alubrass                                          (tconstruct:molten_alubrass)                                                     = Molten Aluminum Brass
brass                                             (tconstruct:molten_brass)                                                        = Molten Brass
copper                                            (tconstruct:molten_copper)                                                       = Molten Copper
tin                                               (gregtech:fluid.tin)                                                             = Molten Tin
bronze                                            (tconstruct:molten_bronze)                                                       = Molten Bronze
zinc                                              (tconstruct:molten_zinc)                                                         = Molten Zinc
lead                                              (tconstruct:molten_lead)                                                         = Molten Lead
nickel                                            (tconstruct:molten_nickel)                                                       = Molten Nickel
silver                                            (tconstruct:molten_silver)                                                       = Molten Silver
electrum                                          (tconstruct:molten_electrum)                                                     = Molten Electrum
steel                                             (tconstruct:molten_steel)                                                        = Molten Steel
aluminum                                          (tconstruct:molten_aluminum)                                                     = Molten Aluminum
liquidhydrogen                                    ([no block])                                                                     = Liquid Hydrogen
liquidoxygen                                      ([no block])                                                                     = Liquid Oxygen
liquidchlorine                                    ([no block])                                                                     = Liquid Chlorine
liquidsulfurdioxide                               ([no block])                                                                     = Liquid Sulfur Dioxide
liquidsulfurtrioxide                              ([no block])                                                                     = Liquid Sulfur Trioxide
sulfuricacid                                      ([no block])                                                                     = Sulfuric Acid
liquidhydrogenchloride                            ([no block])                                                                     = Liquid Hydrogen Chloride
liquidethene                                      ([no block])                                                                     = Liquid Ethylene
liquidsodium                                      ([no block])                                                                     = Liquid Sodium
brine                                             ([no block])                                                                     = Brine
liquiddeuterium                                   ([no block])                                                                     = Liquid Deuterium
liquidtritium                                     ([no block])                                                                     = Liquid Tritium
liquidfusionfuel                                  ([no block])                                                                     = Liquid D-T Fuel
liquidlithium                                     ([no block])                                                                     = Liquid Lithium
heavywater                                        ([no block])                                                                     = Heavy Water
steam                                             (gregtech:fluid.steam)                                                           = Steam
glowstone_fluid                                   (extraplanets:glowstone)                                                         = Liquid Glowstone
magma_fluid                                       (extraplanets:magma)                                                             = Liquid Magma
nitrogen_fluid                                    (extraplanets:nitrogen)                                                          = Liquid Nitrogen
frozen_water_fluid                                (extraplanets:frozen_water)                                                      = Frozen Water
salt_fluid                                        (extraplanets:salt)                                                              = Liquid Crystallized Water
radioactive_water_fluid                           (extraplanets:radioactive_water)                                                 = Radioactive Water
clean_water_fluid                                 (extraplanets:clean_water)                                                       = Clean Water
infected_water_fluid                              (extraplanets:infected_water)                                                    = Infected Water
methane_fluid                                     (extraplanets:methane)                                                           = Liquid Methane
nitrogen_ice_fluid                                (extraplanets:nitrogen_ice)                                                      = Liquid Nitrogen Ice
liquid_hydrocarbon_fluid                          (extraplanets:liquid_hydrocarbon)                                                = Liquid Hydrocarbon
liquid_chocolate_fluid                            (extraplanets:liquid_chocolate)                                                  = Liquid Chocolate
liquid_caramel_fluid                              (extraplanets:liquid_caramel)                                                    = Liquid Caramel
creosote                                          (immersiveengineering:fluidcreosote)                                             = Creosote Oil
coal                                              ([no block])                                                                     = Liquifacted Coal
crude_oil                                         (thermalfoundation:fluid_crude_oil)                                              = Crude Oil
refined_oil                                       ([no block])                                                                     = Naphtha
refined_fuel                                      ([no block])                                                                     = Refined Fuel
sap                                               ([no block])                                                                     = Sap
syrup                                             ([no block])                                                                     = Syrup
resin                                             ([no block])                                                                     = Resin
tree_oil                                          ([no block])                                                                     = Tree Oil
seed_oil                                          ([no block])                                                                     = Seed Oil
biocrude                                          ([no block])                                                                     = Biocrude
refined_biofuel                                   ([no block])                                                                     = Grassoline
mushroom_stew                                     ([no block])                                                                     = Mushroom Stew
experience                                        ([no block])                                                                     = Essence of Knowledge
potion                                            ([no block])                                                                     = Potion
potion_splash                                     ([no block])                                                                     = Splash Potion
potion_lingering                                  ([no block])                                                                     = Lingering Potion
redstone                                          (thermalfoundation:fluid_redstone)                                               = Destabilized Redstone
glowstone                                         (thermalfoundation:fluid_glowstone)                                              = Energized Glowstone
ender                                             (thermalfoundation:fluid_ender)                                                  = Resonant Ender
pyrotheum                                         (thermalfoundation:fluid_pyrotheum)                                              = Blazing Pyrotheum
cryotheum                                         (thermalfoundation:fluid_cryotheum)                                              = Gelid Cryotheum
aerotheum                                         (thermalfoundation:fluid_aerotheum)                                              = Zephyrean Aerotheum
petrotheum                                        (thermalfoundation:fluid_petrotheum)                                             = Tectonic Petrotheum
mana                                              (thermalfoundation:fluid_mana)                                                   = Primal Mana
platinum                                          (gregtech:fluid.platinum)                                                        = Molten Platinum
iridium                                           ([no block])                                                                     = Molten Iridium
invar                                             ([no block])                                                                     = Molten Invar
constantan                                        (immersiveengineering:molten_constantan)                                         = Molten Constantan
signalum                                          ([no block])                                                                     = Molten Signalum
lumium                                            ([no block])                                                                     = Molten Lumium
enderium                                          ([no block])                                                                     = Molten Enderium
electrical_steel                                  (enderio:block_fluid_electrical_steel)                                           = Molten Electrical Steel
energetic_alloy                                   (enderio:block_fluid_energetic_alloy)                                            = Molten Energetic Alloy
vibrant_alloy                                     (enderio:block_fluid_vibrant_alloy)                                              = Molten Vibrant Alloy
redstone_alloy                                    (enderio:block_fluid_redstone_alloy)                                             = Molten Redstone Alloy
conductive_iron                                   (enderio:block_fluid_conductive_iron)                                            = Molten Conductive Iron
pulsating_iron                                    (enderio:block_fluid_pulsating_iron)                                             = Molten Pulsating Iron
dark_steel                                        (enderio:block_fluid_dark_steel)                                                 = Molten Dark Steel
soularium                                         (enderio:block_fluid_soularium)                                                  = Molten Soularium
end_steel                                         (enderio:block_fluid_end_steel)                                                  = Molten End Steel
construction_alloy                                (enderio:block_fluid_construction_alloy)                                         = Molten Iron Alloy
crude_steel                                       (enderio:block_fluid_crude_steel)                                                = Molten Crude Steel
crystalline_alloy                                 (enderio:block_fluid_crystalline_alloy)                                          = Molten Crystalline Alloy
melodic_alloy                                     (enderio:block_fluid_melodic_alloy)                                              = Molten Melodic Alloy
stellar_alloy                                     (enderio:block_fluid_stellar_alloy)                                              = Molten Stellar Alloy
crystalline_pink_slime                            (enderio:block_fluid_crystalline_pink_slime)                                     = Molten Crystalline Pink Slime
energetic_silver                                  (enderio:block_fluid_energetic_silver)                                           = Molten Energetic Silver
vivid_alloy                                       (enderio:block_fluid_vivid_alloy)                                                = Molten Vivid Alloy
oil                                               (galacticraftcore:crude_oil_still)                                               = Oil
fuel                                              (galacticraftcore:fuel)                                                          = Fuel
oxygen                                            ([no block])                                                                     = Oxygen Gas
hydrogen                                          ([no block])                                                                     = Hydrogen Gas
bacterialsludge                                   (galacticraftplanets:sludge)                                                     = Bacterial Sludge
methane                                           ([no block])                                                                     = Methane Gas
atmosphericgases                                  ([no block])                                                                     = Atmospheric Gases
liquidmethane                                     ([no block])                                                                     = Liquid Methane
liquidnitrogen                                    ([no block])                                                                     = Liquid Nitrogen
nitrogen                                          ([no block])                                                                     = Nitrogen Gas
carbondioxide                                     ([no block])                                                                     = CO2 Gas
argon                                             ([no block])                                                                     = Argon Gas
liquidargon                                       ([no block])                                                                     = Liquid Argon
helium                                            ([no block])                                                                     = Helium Gas
sulphuricacid                                     (galacticraftplanets:sulphuric_acid)                                             = Sulphuric Acid
aluminium                                         ([no block])                                                                     = Aluminium
americium                                         ([no block])                                                                     = Americium
antimony                                          ([no block])                                                                     = Antimony
plasma.argon                                      ([no block])                                                                     = Argon Plasma
arsenic                                           ([no block])                                                                     = Arsenic
barium                                            ([no block])                                                                     = Barium
beryllium                                         ([no block])                                                                     = Beryllium
bismuth                                           ([no block])                                                                     = Bismuth
caesium                                           ([no block])                                                                     = Caesium
carbon                                            ([no block])                                                                     = Carbon
cadmium                                           ([no block])                                                                     = Cadmium
cerium                                            ([no block])                                                                     = Cerium
chlorine                                          ([no block])                                                                     = Chlorine
chrome                                            ([no block])                                                                     = Chrome
darmstadtium                                      ([no block])                                                                     = Darmstadtium
deuterium                                         ([no block])                                                                     = Deuterium
europium                                          ([no block])                                                                     = Europium
fluorine                                          ([no block])                                                                     = Fluorine
gallium                                           ([no block])                                                                     = Gallium
plasma.helium                                     ([no block])                                                                     = Helium Plasma
helium3                                           (galaxyspace:block_helium3)                                                      = Helium-3
indium                                            ([no block])                                                                     = Indium
plasma.iron                                       ([no block])                                                                     = Iron Plasma
krypton                                           ([no block])                                                                     = Krypton
lanthanum                                         ([no block])                                                                     = Lanthanum
lithium                                           ([no block])                                                                     = Lithium
lutetium                                          ([no block])                                                                     = Lutetium
magnesium                                         ([no block])                                                                     = Magnesium
manganese                                         ([no block])                                                                     = Manganese
mercury                                           ([no block])                                                                     = Mercury
molybdenum                                        ([no block])                                                                     = Molybdenum
neodymium                                         ([no block])                                                                     = Neodymium
neon                                              ([no block])                                                                     = Neon
plasma.nickel                                     ([no block])                                                                     = Nickel Plasma
niobium                                           ([no block])                                                                     = Niobium
plasma.nitrogen                                   ([no block])                                                                     = Nitrogen Plasma
osmium                                            ([no block])                                                                     = Osmium
plasma.oxygen                                     ([no block])                                                                     = Oxygen Plasma
palladium                                         (gregtech:fluid.palladium)                                                       = Palladium
plutonium                                         ([no block])                                                                     = Plutonium 239
plutonium241                                      ([no block])                                                                     = Plutonium 241
potassium                                         ([no block])                                                                     = Potassium
radon                                             ([no block])                                                                     = Radon
rhodium                                           ([no block])                                                                     = Rhodium
ruthenium                                         ([no block])                                                                     = Ruthenium
samarium                                          ([no block])                                                                     = Samarium
silicon                                           ([no block])                                                                     = Silicon
sodium                                            ([no block])                                                                     = Sodium
sulfur                                            ([no block])                                                                     = Sulfur
tantalum                                          ([no block])                                                                     = Tantalum
thorium                                           ([no block])                                                                     = Thorium
titanium                                          ([no block])                                                                     = Titanium
tritium                                           ([no block])                                                                     = Tritium
tungsten                                          ([no block])                                                                     = Tungsten
uranium                                           (immersiveengineering:molten_uranium)                                            = Uranium 238
uranium235                                        ([no block])                                                                     = Uranium 235
vanadium                                          ([no block])                                                                     = Vanadium
xenon                                             ([no block])                                                                     = Xenon
yttrium                                           ([no block])                                                                     = Yttrium
naquadah                                          ([no block])                                                                     = Naquadah
naquadah_enriched                                 ([no block])                                                                     = Enriched Naquadah
naquadria                                         ([no block])                                                                     = Naquadria
neutronium                                        ([no block])                                                                     = Neutronium
tritanium                                         ([no block])                                                                     = Tritanium
duranium                                          ([no block])                                                                     = Duranium
trinium                                           ([no block])                                                                     = Trinium
annealed_copper                                   ([no block])                                                                     = Annealed Copper
battery_alloy                                     ([no block])                                                                     = Battery Alloy
liquid_oxygen                                     ([no block])                                                                     = Liquid Oxygen
cupronickel                                       ([no block])                                                                     = Cupronickel
ice                                               ([no block])                                                                     = Ice
kanthal                                           ([no block])                                                                     = Kanthal
magnalium                                         ([no block])                                                                     = Magnalium
nichrome                                          ([no block])                                                                     = Nichrome
niobium_nitride                                   ([no block])                                                                     = Niobium Nitride
niobium_titanium                                  ([no block])                                                                     = Niobium-Titanium
sterling_silver                                   ([no block])                                                                     = Sterling Silver
rose_gold                                         ([no block])                                                                     = Rose Gold
black_bronze                                      ([no block])                                                                     = Black Bronze
bismuth_bronze                                    ([no block])                                                                     = Bismuth Bronze
soldering_alloy                                   ([no block])                                                                     = Soldering Alloy
stainless_steel                                   ([no block])                                                                     = Stainless Steel
tin_alloy                                         ([no block])                                                                     = Tin Alloy
ultimet                                           ([no block])                                                                     = Ultimet
vanadium_gallium                                  ([no block])                                                                     = Vanadium-Gallium
wrought_iron                                      ([no block])                                                                     = Wrought Iron
yttrium_barium_cuprate                            ([no block])                                                                     = Yttrium Barium Cuprate
graphene                                          ([no block])                                                                     = Graphene
osmiridium                                        ([no block])                                                                     = Osmiridium
gallium_arsenide                                  ([no block])                                                                     = Gallium Arsenide
indium_gallium_phosphide                          ([no block])                                                                     = Indium Gallium Phosphide
nickel_zinc_ferrite                               ([no block])                                                                     = Nickel Zinc Ferrite
sodium_persulfate                                 ([no block])                                                                     = Sodium Persulfate
tungsten_carbide                                  ([no block])                                                                     = Tungstencarbide
carbon_dioxide                                    ([no block])                                                                     = Carbon Dioxide
titanium_tetrachloride                            ([no block])                                                                     = Titanium Tetrachloride
nitrogen_dioxide                                  ([no block])                                                                     = Nitrogen Dioxide
hydrogen_sulfide                                  ([no block])                                                                     = Hydrogen Sulfide
nitric_acid                                       ([no block])                                                                     = Nitric Acid
sulfuric_acid                                     ([no block])                                                                     = Sulfuric Acid
phosphoric_acid                                   ([no block])                                                                     = Phosphoric Acid
sulfur_trioxide                                   ([no block])                                                                     = Sulfur Trioxide
sulfur_dioxide                                    ([no block])                                                                     = Sulfur Dioxide
